network_id,pair_id,Location,Site,Management,Treatment,day,moisture,respiration,total_biomass,total_flux,dominant_real_eigenvalue,reactivity,S_full,beta_out_json,beta_in_json,S_het,S_Ftot,S_reconstructed,S_reconstruction_error,beta_norm_converged
De_S1_Ex_C_d0,De_S1_Ex,De,S1,Ex,C,d0,29.4333333333333,0.000389345197353411,2417707.0106208636,491.01082202672643,-4.344608480428045e-05,0.13105021843751583,43.91982143908443,"[0.0, 3.1813858033965303, 0.9752385309474305, 1.7485427753348886, 30.144334708099343, 0.0, 0.017757047283814636, 0.03365967451139638, 38.677351625933596, 0.0014885834313334467, 0.0001809411916020343, 0.004259922035338555, 0.004354795374781126]","[0.9486852992270409, 0.43916057882120746, 0.016188294932663817, 0.0801402054339466, 0.6283925470701146, 0.33345943975161224, 0.015319783064674143, 0.037214509420991956, 0.30183786401500556, 1.3604116258491077e-07, 0.0, 0.0, 0.0]",-96.44625646990283,148.71518804014215,52.26893157023932,-8.349110131154887,True
De_S1_Ex_D_d0,De_S1_Ex,De,S1,Ex,D,d0,20.1333333333333,0.000197999847897178,2680108.78679487,391.5752985690879,-6.165957464599881e-05,0.12088598433164605,43.5316580107947,"[0.0, 6.802156338676289, 2.0758877648981957, 3.5351875570462767, 4.138726275012798, 0.0, 0.09193519759390738, 0.636396992425106, 36.93119741250415, 0.43506877582124637, 1.4953791653923668e-12, 0.0069061926258569785, 0.01674645188386709]","[1.333650486371167, 0.3253035610064345, 0.01806713160457849, 0.0820623673823475, 0.12747434355878356, 0.4582396291348642, 8.372994967944386e-05, 0.06660139319481544, 0.06156792690918377, 8.7089786730537e-11, 0.0, 0.0, 0.0]",-97.2651556055209,143.28426793072663,46.019112325205725,-2.487454314411025,True
De_S1_In_C_d0,De_S1_In,De,S1,In,C,d0,44.2666666666667,0.000423606357897939,2574562.612438888,652.358775678581,-2.5623912023914003e-05,0.1408057809430417,36.381305424764136,"[0.0, 13.488956774758947, 1.3264361673795835, 18.398813514316842, 46.557612844077894, 0.0, 0.011011200723663232, 1.1135674821489867, 23.708026851145142, 0.1616680935587767, 0.004765095046436124, 0.0031892356537731197, 0.01195069135539401]","[1.2788813214286237, 0.5638428690717997, 0.0067754286562249355, 0.2697712665640587, 1.2463269972670212, 0.1937821014321241, 8.344628100623035e-06, 0.05883551023900301, 0.055485311590148, 1.9463692081628e-06, 0.0, 0.0, 0.0]",-116.61103240139806,155.53427232071076,38.92323991931269,-2.5419344945485562,True
De_S1_In_D_d0,De_S1_In,De,S1,In,D,d0,19.2,0.000322115750247167,2525654.8491216423,960.4223687960525,-6.26658169705391e-05,0.13842132689780925,49.31557295322767,"[0.0, 1.9384097462204437, 1.668916853373947, 2.417653351704669, 2.628785662591878, 0.0, 0.006772199893515944, 1.325259053507021, 1.7047157698725706, 0.025502180200120482, 0.0010109783602183422, 0.0015253392445665728, 0.008000162110087654]","[0.41837050805141074, 0.36758844416244285, 0.02044633179674675, 0.312312157690665, 0.3659611932536337, 0.2614455290326902, 1.2655423833879348e-05, 0.13752218109695877, 0.020476635461057026, 8.129795886267204e-07, 0.0, 0.0, 0.0]",-117.75778726864948,164.8169557248108,47.05916845616133,2.2564044970663417,True
De_S2_Ex_C_d0,De_S2_Ex,De,S2,Ex,C,d0,51.1666666666667,0.000427523005551753,4233781.395874838,1199.7139996544379,-3.872674705286964e-05,0.1139613944500779,52.59834205529156,"[0.0, 11.034547812970143, 1.4433466669955808, 4.4265230549809464, 16.651035639506098, 0.0, 0.04797914886778355, 0.6508370000603045, 13.124720543823377, 0.7923190835959256, 1.3993428251874079e-10, 0.0023755407813063826, 1.7329891495317746e-05]","[0.3918399160462139, 0.40517914153764867, 0.006373190303339853, 0.08507450745983866, 0.277599299917164, 0.5241381292644411, 0.003452692080948387, 0.014520240840613204, 0.018373767563873954, 1.5432540681207895e-05, 0.0, 0.0, 0.0]",-112.84766424672019,170.15612336997165,57.30845912325147,-4.7101170679599065,True
De_S2_Ex_D_d0,De_S2_Ex,De,S2,Ex,D,d0,20.7333333333333,0.000163586584531143,4729969.774373792,799.5995582607695,-3.912698513294728e-05,0.12700973609776164,57.72147062390319,"[0.0, 4.742252990965284, 0.2475989327089535, 2.6061249772670014, 0.35425965653556724, 0.0, 0.0001254326110222869, 2.346141168956348, 7.369337828582664, 0.5600023639781203, 1.9891759331053814e-05, 0.005544115567376406, 3.052857695383801e-12]","[0.5708731362864023, 0.24137382430934531, 0.004402160168709191, 0.06861846206233205, 0.020342319865595013, 0.7203810876062154, 0.008420102063095073, 0.15601590943738805, 0.03104597782546479, 4.415049114752781e-08, 0.0, 0.0, 0.0]",-102.69696409736636,160.4186652042199,57.721701106853544,-0.00023048295035721367,True
De_S2_In_C_d0,De_S2_In,De,S2,In,C,d0,39.4,0.00055886379192334,4573318.008831996,772.0874718252294,-1.784399716601331e-05,0.11935304164787035,41.27445321436079,"[0.0, 8.415169038692293, 1.0747739202931594, 4.900594904999271, 235.53698021190894, 0.0, 0.0013333871889775572, 2.274781955878238, 14.354278496846794, 0.40860936869500075, 0.0009225438935081905, 0.0033213774771757376, 0.006555719530770778]","[0.7755039565834764, 0.26978709274303186, 0.006400983838088236, 0.07723095265645813, 1.338045321233515, 0.23062940855865774, 9.42827730359114e-05, 0.10561659545746033, 0.041861893795966124, 3.4210764993078407e-06, 0.0, 0.0, 0.0]",-114.52329849931492,159.57834837790298,45.055049878588065,-3.780596664227275,True
De_S2_In_D_d0,De_S2_In,De,S2,In,D,d0,31.2333333333333,0.000322001673131037,4575834.335040863,711.5851853740166,-1.8126050690435162e-05,0.1305432189427804,39.65822904270335,"[0.0, 9.752356180009716, 1.7354984271183522, 5.4856254415886765, 94.9727171666272, 0.0, 0.09552987793540367, 0.7316015586201449, 38.65683376113182, 0.45790419339755134, 4.96034146685918e-09, 0.0033215466190298147, 0.008583380140429264]","[0.733675473736712, 0.33131885024998975, 0.008758173889546788, 0.09413477268512241, 1.5527017696309429, 0.44427478156718103, 3.6808370668122893e-06, 0.03647359327777052, 0.0790283543454723, 6.548918829364189e-11, 0.0, 0.0, 0.0]",-114.98906675727766,157.61988328368173,42.630816526404075,-2.9725874837007282,True
De_S3_Ex_C_d0,De_S3_Ex,De,S3,Ex,C,d0,50.2,0.000885466575404974,2928149.9599164976,1284.054396394173,-3.073711904189463e-05,0.09356861197849647,44.32026266681319,"[0.0, 12.672574752612805, 1.3263504261902268, 13.454244893721539, 97.95532364901582, 0.0, 0.008114260856840819, 2.0263063299883175, 5.9600097979313285, 0.056975762222400105, 1.7968832514135042e-11, 0.0015334640376639056, 0.005970187584285229]","[1.210719069384994, 0.3060055007659177, 0.005666221336269001, 0.15673043952825516, 0.5540390086828466, 0.6429551940047191, 6.189518506644306e-05, 0.07668345023981012, 0.00987761701247809, 5.218572242881114e-08, 0.0, 0.0, 0.0]",-124.60031624133381,171.7866683554923,47.186352114158495,-2.8660894473453027,True
De_S3_Ex_D_d0,De_S3_Ex,De,S3,Ex,D,d0,19.8,0.000295383679367252,2411259.5418033274,905.3151629842088,-0.00010297773752492991,0.11383719203543381,47.19838767531948,"[0.0, 7.863499123221615, 0.4918105783835308, 16.472717977795035, 5.378163848095619, 0.0, 4.523581070395305e-05, 3.577572010110917, 9.253216230582558, 0.2706051993271933, 1.0000000000048906e-12, 0.0030465788917960084, 0.007745090532783576]","[0.6992691296890495, 0.3266691067862958, 0.0044885482971837466, 0.3522493623095201, 0.1293684719073065, 0.26431686355983974, 3.296435523143676e-06, 0.17011311274210295, 0.020818762327285186, 1.0000000000086722e-12, 0.0, 0.0, 0.0]",-113.07596051334266,163.39879510722278,50.32283459388012,-3.1244469185606363,True
