network_id,Location,Site,Management,Treatment,valid_feasible_samples,dominant_real_eigenvalue_observed,dominant_real_eigenvalue_valid_samples,dominant_real_eigenvalue_median,dominant_real_eigenvalue_p01,dominant_real_eigenvalue_p99,dominant_real_eigenvalue_p20,dominant_real_eigenvalue_p80,dominant_real_eigenvalue_empirical_rank,dominant_real_eigenvalue_match_class,reactivity_observed,reactivity_valid_samples,reactivity_median,reactivity_p01,reactivity_p99,reactivity_p20,reactivity_p80,reactivity_empirical_rank,reactivity_match_class,total_flux_observed,total_flux_valid_samples,total_flux_median,total_flux_p01,total_flux_p99,total_flux_p20,total_flux_p80,total_flux_empirical_rank,total_flux_match_class,S_full_observed,S_full_valid_samples,S_full_median,S_full_p01,S_full_p99,S_full_p20,S_full_p80,S_full_empirical_rank,S_full_match_class
De_S1_Ex_C_d0,De,S1,Ex,C,816,-4.344608480428045e-05,816,-2.645504461911074e-05,-0.00010741023552729491,-7.112218504076705e-07,-4.877290729333931e-05,-1.1705872654753503e-05,0.2549019607843137,reproduced,0.13105021843751583,816,0.14838201336537044,0.11759979865792836,1.5618244478405913e+29,0.1309221348243384,0.30406659936254954,0.2034313725490196,reproduced,491.01082202672643,816,458.41606342301134,167.65409438368633,1404.4139509927738,307.12015977289565,672.3838605588079,0.5588235294117647,reproduced,43.91982143908443,813,37.594559906562395,20.19048557019784,206.79294839553776,31.834207480302457,42.587375992714925,0.8462484624846248,reproduced
De_S1_In_C_d0,De,S1,In,C,923,-2.5623912023914003e-05,923,-1.983119477797253e-05,-8.385916557438078e-05,-1.0572651570608493e-06,-3.378540269114148e-05,-9.927288787740303e-06,0.3401950162513543,reproduced,0.1408057809430417,923,0.1520444167763925,0.1305013219090984,1.0587702643510439e+30,0.1406607420411254,0.17712373363941053,0.20368364030335862,reproduced,652.358775678581,923,589.0465678228707,198.3677896834618,2046.22035011415,395.08944701667644,884.0694332636078,0.5720476706392199,reproduced,36.381305424764136,910,29.86506974863897,13.517766677800498,106.80696938609546,24.541643594354806,35.69269911427328,0.8285714285714286,reproduced
De_S2_Ex_C_d0,De,S2,Ex,C,956,-3.872674705286964e-05,956,-2.554423364633474e-05,-0.00014337986391402453,-3.729292312794394e-07,-5.915124842409824e-05,-9.139742376923212e-06,0.35460251046025104,reproduced,0.1139613944500779,956,0.1208543717817576,0.10771507677045522,7.50743467912902e+29,0.11393013554064096,0.1331698479804157,0.20188284518828453,reproduced,1199.7139996544379,956,1146.6422284420178,381.804796199107,3105.7357094058752,761.0839440000551,1610.1113749815347,0.5407949790794979,reproduced,52.59834205529156,953,46.200924249809475,29.29324396620637,73.50044446282187,40.743374997824056,51.2072224329314,0.8499475341028332,reproduced
De_S2_In_C_d0,De,S2,In,C,905,-1.784399716601331e-05,905,-1.3844142274007322e-05,-6.812870783703704e-05,-9.293568988611811e-07,-2.3589707663154096e-05,-6.878962513652545e-06,0.34033149171270716,reproduced,0.11935304164787035,905,0.12894008965717343,0.11070095427527551,8.165937593589125e+29,0.11910244964741189,0.15848380940057397,0.20994475138121546,reproduced,772.0874718252294,905,740.8925947479232,238.69662967152286,2152.7330224580937,480.9145167788936,1050.857348516795,0.5348066298342542,reproduced,41.27445321436079,903,35.89665263759557,19.030876561974992,301.1046944779061,30.384638430823774,41.46842211342247,0.7906976744186046,reproduced
De_S3_Ex_C_d0,De,S3,Ex,C,929,-3.073711904189463e-05,929,-1.8313445474679005e-05,-8.920837858631492e-05,-2.8712135432124527e-07,-3.6927115597647164e-05,-7.094065413264496e-06,0.28417653390742736,reproduced,0.09356861197849647,929,0.10179691752310381,0.09077985826208863,3.919003451584738e+29,0.09541577142885077,0.12262261974659909,0.0968783638320775,reproduced,1284.054396394173,929,1146.0824695637023,316.17186449493363,4330.156715435092,728.0063184843851,1772.171778095936,0.5844994617868676,reproduced,44.32026266681319,928,39.78030066923874,22.188178534630058,373.1861539335997,33.746630154772426,45.95952967481675,0.7338362068965517,reproduced
De_S3_In_C_d0,De,S3,In,C,952,-8.910691534746865e-06,952,-8.549871362533125e-06,-4.165790835951135e-05,-9.343462285826841e-07,-1.4559971519762236e-05,-4.6040935735528465e-06,0.46638655462184875,reproduced,0.14134131270398007,952,0.1489376937468806,0.13188188225974085,1.4879198606706736e+29,0.13982799071107815,0.16449646135504706,0.2552521008403361,reproduced,1163.4442075944407,952,1044.7589571006274,308.92562327898776,3606.2087353013044,663.0337316238603,1623.3937050026136,0.5714285714285714,reproduced,42.01947542876634,952,37.3772177904461,19.80946038694737,161.21522016023644,31.301298151738116,44.77642328184667,0.7321428571428571,reproduced
De_S4_Ex_C_d0,De,S4,Ex,C,901,-4.446512038254571e-05,901,-2.7487939600682872e-05,-0.00012812310643766433,-7.968882588419466e-07,-4.8333929536011645e-05,-1.3328064980318745e-05,0.23640399556048836,reproduced,0.10124548887968073,901,0.11109205392063895,0.09715038401169859,6.165883366474538e+30,0.10366436288365358,0.14372189771728766,0.10321864594894561,reproduced,912.7814652676839,901,806.7825387740057,223.8780817261348,3131.371083233846,506.20171728930643,1280.2949713041132,0.5760266370699223,reproduced,44.39730061479529,896,38.7692376194334,21.283701947880843,150.02377500373018,32.87213147385476,45.29462946022282,0.7745535714285714,reproduced
De_S4_In_C_d0,De,S4,In,C,900,-9.147971899109534e-06,900,-7.264816616189543e-06,-3.100297885397688e-05,-4.0878153322740816e-07,-1.2287732320353814e-05,-3.58555822549519e-06,0.36333333333333334,reproduced,0.11826082387840123,900,0.12570600811277602,0.11109531210993483,1.1890440202984561e+30,0.1171328768296414,0.15855646457302736,0.23777777777777778,reproduced,887.7126921054538,900,770.1010518472895,218.54353098367775,3222.43918004819,477.68351859477997,1243.3398915259945,0.5944444444444444,reproduced,36.103660444684444,892,31.32855962984047,12.739299693178314,201.83966411772215,25.272962194427894,39.21470953911464,0.7073991031390134,reproduced
De_S5_Ex_C_d0,De,S5,Ex,C,933,-2.787229167298078e-05,933,-1.8547342188284375e-05,-8.701905137874043e-05,-6.970838305134343e-07,-3.1531597693206905e-05,-9.068703522834227e-06,0.2658092175777063,reproduced,0.1183851090194408,933,0.12684649572251872,0.10826773464804837,7.263161687269095e+29,0.11609457462872076,0.1488657064034474,0.27867095391211144,reproduced,979.7929128476356,933,945.9276492098579,289.2136050702135,2545.2687567606563,622.7009449068089,1333.7861917070304,0.5294748124330118,reproduced,40.16772525786849,925,34.71114703556532,17.11349232526014,297.7115722724326,29.15663984514844,40.61375260119449,0.7816216216216216,reproduced
De_S5_In_C_d0,De,S5,In,C,975,-1.8830506459083037e-05,975,-1.2970541215037077e-05,-5.424891079053164e-05,-6.499953204249706e-07,-2.163760892460806e-05,-6.663356152108751e-06,0.28307692307692306,reproduced,0.10068569451120286,975,0.10404442512752642,0.09648814154670547,1.4093335808891168e+29,0.09955829801508223,0.11375341626437861,0.28102564102564104,reproduced,431.70206631918154,975,384.0059695607281,104.82000644456427,1403.0153218981159,234.69951444286986,595.2799008703541,0.6082051282051282,reproduced,16.677755237536676,956,11.113290871612499,-5.968999827792442,49.86717218275198,5.406767102824272,17.275438454221593,0.7730125523012552,reproduced
