network_id,Location,Site,Management,Treatment,valid_feasible_samples,dominant_real_eigenvalue_observed,dominant_real_eigenvalue_valid_samples,dominant_real_eigenvalue_median,dominant_real_eigenvalue_p01,dominant_real_eigenvalue_p99,dominant_real_eigenvalue_p20,dominant_real_eigenvalue_p80,dominant_real_eigenvalue_empirical_rank,dominant_real_eigenvalue_match_class,reactivity_observed,reactivity_valid_samples,reactivity_median,reactivity_p01,reactivity_p99,reactivity_p20,reactivity_p80,reactivity_empirical_rank,reactivity_match_class,total_flux_observed,total_flux_valid_samples,total_flux_median,total_flux_p01,total_flux_p99,total_flux_p20,total_flux_p80,total_flux_empirical_rank,total_flux_match_class,S_full_observed,S_full_valid_samples,S_full_median,S_full_p01,S_full_p99,S_full_p20,S_full_p80,S_full_empirical_rank,S_full_match_class
De_S1_Ex_D_d0,De,S1,Ex,D,857,-6.165957464599881e-05,857,-3.1454326746858046e-05,-0.0001791561005327551,-4.3544563987462987e-07,-6.503931163429786e-05,-1.2591518348514438e-05,0.22987164527421236,reproduced,0.12088598433164605,857,0.13488217925966017,0.11189147476067365,1.7928480748333034e+29,0.1227341128698061,0.2351871915018796,0.15402567094515754,reproduced,391.5752985690879,857,373.69375756633644,129.48158870239143,1048.1886797221093,253.91828500981762,526.7105910314513,0.544924154025671,reproduced,43.5316580107947,847,36.172405597503726,19.62594876840337,124.94105388247164,30.541753500839896,41.01369117499195,0.8831168831168831,reproduced
De_S1_In_D_d0,De,S1,In,D,861,-6.26658169705391e-05,861,-3.208788487153739e-05,-0.00013293642173404274,-3.3724030771589914e-07,-5.5078416103221964e-05,-1.3553254219884402e-05,0.1521486643437863,reproduced,0.13842132689780925,861,0.15540116641200877,0.1300679733971755,9.473483220744294e+29,0.1408082636842897,0.21952063090431415,0.1440185830429733,reproduced,960.4223687960525,861,816.8988682436351,217.01877145870142,3678.1742366527474,480.89237060594616,1400.0583302579373,0.5934959349593496,reproduced,49.31557295322767,859,40.25783314589729,22.51639753223259,61.18942942067265,34.620222665553676,46.465209545339164,0.8684516880093132,reproduced
De_S2_Ex_D_d0,De,S2,Ex,D,840,-3.912698513294728e-05,840,-2.5569603065147054e-05,-0.00015182262743379798,-2.1235921143259508e-07,-6.048601314015039e-05,-9.158005982485072e-06,0.35714285714285715,reproduced,0.12700973609776164,840,0.14118415548109847,0.11644717589793709,2.7532592725692797e+31,0.12780872540205485,0.22878668848022343,0.18452380952380953,reproduced,799.5995582607695,840,799.3436013465775,271.4791337597191,1982.5682937066017,552.1020744235634,1068.400107602897,0.5,reproduced,57.72147062390319,839,50.88417288024152,34.09783651986844,381.6797968204014,45.263450774308936,56.20007678392251,0.8593563766388558,reproduced
De_S2_In_D_d0,De,S2,In,D,914,-1.8126050690435162e-05,914,-1.2405986259796751e-05,-5.490662139197771e-05,-5.103936195858005e-07,-2.119483593320861e-05,-6.3540406592548865e-06,0.28774617067833697,reproduced,0.1305432189427804,914,0.142366064707106,0.12397656495126597,1.4375627628424593e+29,0.13218495978125486,0.16796135135165793,0.1575492341356674,reproduced,711.5851853740166,914,672.3149253301751,235.58759450571642,2113.036035137114,445.89732703661286,963.1435376869716,0.5536105032822757,reproduced,39.65822904270335,910,34.305286842622806,16.68827636885197,223.69578517931103,28.711666984422415,40.65219246829693,0.7692307692307693,reproduced
De_S3_Ex_D_d0,De,S3,Ex,D,900,-0.00010297773752492991,900,-4.97067350249831e-05,-0.00023210479245232618,-5.601277848898287e-07,-9.837294796974511e-05,-2.023178572249842e-05,0.18444444444444444,reproduced,0.11383719203543381,900,0.12511719972050994,0.10716467742445249,2.9574427864875325e+30,0.11572649525364773,0.1672597536232884,0.15,reproduced,905.3151629842088,900,864.4141530224397,258.67373918489335,2732.3830141792023,556.3763884819527,1224.86115745666,0.5355555555555556,reproduced,47.19838767531948,897,40.30873977646297,24.17340980280767,159.75436228444386,34.55181988356329,45.409418453895064,0.855072463768116,reproduced
De_S3_In_D_d0,De,S3,In,D,973,-8.141262807766728e-06,973,-6.6937380814066e-06,-2.9337265648807118e-05,-3.646352901162898e-07,-1.145700210060113e-05,-3.418021378522811e-06,0.38848920863309355,reproduced,0.12866802186665244,973,0.1359024686976082,0.12304554086650102,3.906512914426606e+26,0.1287770655110539,0.14698109891323638,0.19835560123329907,reproduced,1931.7839433508657,973,1749.530191986808,510.69322162572934,5820.057740495062,1107.3931327020887,2612.87412262888,0.5755395683453237,reproduced,46.893211998345755,971,39.329095963924345,19.637071208913316,254.7287301908493,32.45481363473835,47.89803344971519,0.7847579814624099,reproduced
De_S4_Ex_D_d0,De,S4,Ex,D,859,-0.0002455225828239549,859,-0.0001241079732666147,-0.000497631696407429,-2.292275487650041e-06,-0.00023081242529765853,-5.214998399724046e-05,0.17112922002328287,reproduced,0.09410764428339877,859,0.10888305337572657,0.09012431758091509,2.6268385169250865e+31,0.09730517507128246,0.1710836447097632,0.08381839348079162,reproduced,1212.321740261526,859,1085.534634120679,322.3344851813061,3879.6397393642546,695.97593588935,1709.6839463228114,0.5657741559953434,reproduced,62.7186993909329,859,55.74831911465657,38.65465811149541,80.01389686721166,50.04120811819865,60.909111331131314,0.8637951105937136,reproduced
De_S4_In_D_d0,De,S4,In,D,902,-7.189509908151e-06,902,-6.368050420546663e-06,-4.036088619791232e-05,-8.048976848622179e-07,-1.0905298379444946e-05,-3.4007933592094736e-06,0.4279379157427938,reproduced,0.1335796437236154,902,0.14535637827383846,0.12528824538104902,1.081446784178018e+30,0.13420303706803507,0.17495919057347764,0.18514412416851442,reproduced,1012.5950213812362,902,878.3750374540759,235.21303917822877,3682.775249727312,533.4719332583719,1433.0515384556854,0.6008869179600886,reproduced,46.69167768162873,900,40.11420735001817,22.236889255015903,94.63716755851792,33.58786419877366,47.2837348001674,0.79,reproduced
De_S5_Ex_D_d0,De,S5,Ex,D,869,-3.957886406119166e-05,869,-2.481968972821213e-05,-0.0001450298014229261,-3.4399995067142e-07,-5.5269583045261155e-05,-9.191311206124019e-06,0.3256616800920598,reproduced,0.12233492737683571,869,0.13636717448322108,0.11287552331008943,5.394716702673733e+29,0.12288469190414385,0.22682553762453794,0.1806674338319908,reproduced,754.6561851997899,869,721.1490989773356,226.72931551727643,1999.7961210518295,467.9629551770651,1028.5171275956811,0.5500575373993095,reproduced,48.35087001703259,866,41.36702326483257,24.946016077841865,91.37547079906864,35.64377900003104,46.40409780017831,0.8660508083140878,reproduced
De_S5_In_D_d0,De,S5,In,D,845,-3.137576392215852e-05,845,-2.3787352977217175e-05,-0.00010303488222891696,-7.611922823748798e-07,-4.168896821402532e-05,-1.2072367298761698e-05,0.3467455621301775,reproduced,0.13798342358988297,845,0.1580480401014943,0.12869503441258262,1.4744471015214662e+30,0.14069790341758284,0.3612323951926508,0.14201183431952663,reproduced,704.4528865458933,845,620.6490752771782,190.56766811115912,2562.1358441940874,399.54208484713865,993.4550516895038,0.6023668639053255,reproduced,45.60220876564571,840,38.24464480768927,21.917638451212763,71.02587539580095,33.02004424569859,44.281598883653956,0.8571428571428571,reproduced
