subset,relationship,c,n_valid,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
all,S_Ftot vs reactivity,0.005,59.0,0.48153737328514123,0.00011284874524391232,0.46715371127995325,0.0001914435498753259,0.0004948542987510909,0.06316536249302092,0.2318782418703532
all,S_Ftot vs reactivity,0.0075,59.0,0.4081418624829785,0.0013324210498883876,0.38328462887200476,0.00273173463840879,0.00046404645051296317,0.05584160512089044,0.1665797799110746
all,S_Ftot vs reactivity,0.01,59.0,0.3434436702352836,0.007741666612723723,0.30292226767971947,0.01969587648544634,0.00043108572986633403,0.050962783343557666,0.11795355462468227
all,S_Ftot vs reactivity,0.015,59.0,0.31153835654743134,0.016311107534725304,0.2856808883693747,0.028283022304557814,0.0004295450432253942,0.03427162086156291,0.09705614760027442
all,S_Ftot vs reactivity,0.02,59.0,0.30618272525549517,0.018350742755377663,0.2732904734073641,0.03623148217615676,0.0004418889136852023,0.019932501884657117,0.09374786124488217
all,S_Ftot vs reactivity,0.03,58.0,0.3241552076595351,0.013050767224533789,0.3296625549847735,0.011502253562190819,0.0004789088828618212,-0.0029734015661924684,0.10507659865279617
all,S_Ftot vs reactivity,0.05,59.0,0.36181722717728093,0.00486573714973497,0.40683810637054363,0.0013854565014276793,0.0005353577671508778,-0.032403034859242744,0.13091170588225604
all,S_full vs dominant_real_eigenvalue,0.001,58.0,-0.3826328824228636,0.0030335926064693325,-0.3264634408932911,0.012381194077839709,-1.2785482370937609e-07,-3.5912219012063433e-07,0.14640792271122896
all,S_full vs dominant_real_eigenvalue,0.0025,59.0,-0.4075065865707579,0.001358031325286929,-0.38164815897136184,0.0028585212749449615,-3.3790066306232526e-07,7.304365255721674e-08,0.1660616180985507
all,S_full vs dominant_real_eigenvalue,0.005,58.0,-0.39966553613627104,0.0018826237231137544,-0.36429911716755364,0.004933637373086131,-5.94165314554844e-07,-1.5431337522423498e-06,0.15973254077509288
all,S_full vs dominant_real_eigenvalue,0.0075,59.0,-0.4159749844327243,0.0010504081058946525,-0.40134424313267103,0.0016303639341458966,-8.073123998107238e-07,-3.2305348473192396e-06,0.17303518767380513
all,S_full vs dominant_real_eigenvalue,0.01,59.0,-0.41988542252378525,0.0009308141298165663,-0.384979544126242,0.0026057148225781973,-1.0464026726445897e-06,-4.1325605712758476e-06,0.1763037680479777
all,S_full vs dominant_real_eigenvalue,0.015,57.0,-0.43542251508939317,0.0007113996808381703,-0.4236453201970444,0.0010244755717627341,-1.452770504382482e-06,-6.6654298361225716e-06,0.1895927666467727
all,S_full vs dominant_real_eigenvalue,0.02,57.0,-0.42714774754523194,0.0009204312301677125,-0.394866476536168,0.0023681841223380773,-1.8721445448185693e-06,-9.75554023249538e-06,0.18245519823296505
all,S_full vs dominant_real_eigenvalue,0.03,58.0,-0.41852319890976897,0.0010774563290154465,-0.37691100925897447,0.003541294875987898,-2.607368385258008e-06,-1.365122463829738e-05,0.17516166802566613
all,S_full vs dominant_real_eigenvalue,0.05,59.0,-0.43236872149970884,0.0006266404338269644,-0.37895967270601993,0.0030781899039680673,-4.1533098379919735e-06,-1.255669053435617e-05,0.18694271133129303
all,S_full vs reactivity,0.001,58.0,0.5897427466384922,1.108882669203367e-06,0.6006029099633948,6.225674826322091e-07,0.0005798072035324249,0.14164332706234978,0.347796507212713
all,S_full vs reactivity,0.0025,59.0,0.6698828948452731,6.54727773087199e-09,0.7095850379894799,3.144362853318912e-10,0.000616181253805772,0.13110546810501825,0.4487430928062832
all,S_full vs reactivity,0.005,58.0,0.5714219916588404,2.8033928704707063e-06,0.5588913839244517,5.1227698797300314e-06,0.0005270480992587246,0.1201889721129816,0.32652309255135564
all,S_full vs reactivity,0.0075,59.0,0.5466696446518732,7.484498628816747e-06,0.5461133839859732,7.678711441453755e-06,0.0005603396495394168,0.1072892253197686,0.29884770038380515
all,S_full vs reactivity,0.01,59.0,0.44393556998080946,0.0004283767527874385,0.4223845704266511,0.0008609602052923619,0.0005182890069992464,0.0990477574380286,0.19707879029418607
all,S_full vs reactivity,0.015,57.0,0.4109196190316417,0.0014975120532544238,0.3848198081410423,0.0031196183765489316,0.0005184169886751634,0.08268316697031636,0.16885493330510942
all,S_full vs reactivity,0.02,57.0,0.37347723282165163,0.004215629232673771,0.3411978221415608,0.009394099007323659,0.0005082763934778013,0.07109174901049325,0.1394852434361181
all,S_full vs reactivity,0.03,58.0,0.36765179171551526,0.004523057016529236,0.34762681103694365,0.007500523899356484,0.0005366186145403292,0.05280958794190293,0.13516783995162862
all,S_full vs reactivity,0.05,59.0,0.3639304638720034,0.004604709240398728,0.3812390414962011,0.002891023652071442,0.000556053349763741,0.03236451745137172,0.13244538253409158
all,S_full vs total_flux,0.001,58.0,0.7731963953281477,1.137899333927404e-12,0.8311236888246333,6.775935119662088e-16,14.607681432940453,89.8422069523537,0.5978326657484415
all,S_full vs total_flux,0.0025,59.0,0.7527272146066706,6.185560142751815e-12,0.8087668030391585,9.341567249028243e-15,15.166165489186122,83.74730490874083,0.5665982596095164
all,S_full vs total_flux,0.005,58.0,0.7417680655786779,2.714692382621266e-11,0.8300778246024179,7.936324304382822e-16,15.600780308968176,85.11496756534041,0.550219863112334
all,S_full vs total_flux,0.0075,59.0,0.7025365843986223,5.588227405341398e-10,0.8004675628287552,2.7770485675107705e-14,15.520583863149756,103.80021520901244,0.49355765241848276
all,S_full vs total_flux,0.01,59.0,0.7039240237134878,4.996754290387386e-10,0.7932203389830509,6.90236216653834e-14,16.73336553917168,82.41608692960062,0.4955090311609876
all,S_full vs total_flux,0.015,57.0,0.6744279235317107,8.836149136202622e-09,0.7918719211822661,2.221988294627228e-13,17.184199384997214,109.81257245236577,0.4548530240392951
all,S_full vs total_flux,0.02,57.0,0.6575264280641092,2.7528102360106624e-08,0.7865569095151672,4.122833697362797e-13,18.624131773973378,89.2571308041554,0.4323410036027462
all,S_full vs total_flux,0.03,58.0,0.6418188910353093,5.65401439621667e-08,0.7969177766157065,7.275994789739774e-14,21.643447048108765,39.070344560073636,0.4119314888897941
all,S_full vs total_flux,0.05,59.0,0.6290872214027392,9.493688568687883e-08,0.8090590298071305,8.98135001756499e-15,27.583416140199347,-60.81099442463562,0.3957507321322192
all,S_het vs dominant_real_eigenvalue,0.001,59.0,-0.3794032022344393,0.0030409494638712685,-0.48182349503214505,0.00011164173946635746,-2.2893038075057212e-07,-3.0560416736164354e-05,0.14394678986574672
all,S_het vs dominant_real_eigenvalue,0.0025,58.0,-0.3541167958433704,0.006388435838577486,-0.4706696607093421,0.0001926193239275183,-5.214754605664939e-07,-7.031806419236712e-05,0.1253987050983753
all,S_het vs dominant_real_eigenvalue,0.005,59.0,-0.4006820735795822,0.001662358992229255,-0.5271770894213911,1.7884319271798185e-05,-1.0137454958908175e-06,-0.00013709785291196892,0.1605461240880339
all,S_het vs dominant_real_eigenvalue,0.0075,59.0,-0.4223066522064573,0.0008630645906949523,-0.5630040911747517,3.4545709841018804e-06,-1.4149531182959806e-06,-0.0001922805437907147,0.17834290849782575
all,S_het vs dominant_real_eigenvalue,0.01,59.0,-0.4066652736975294,0.0013926275512796407,-0.5175920514319112,2.692108701213266e-05,-1.6692312166068982e-06,-0.00023154352404655066,0.16537664483148645
all,S_het vs dominant_real_eigenvalue,0.015,59.0,-0.4087266023021541,0.0013092322343285921,-0.5022793687901813,5.046492368979609e-05,-2.4462924249419216e-06,-0.00033910236686644725,0.16705743542946314
all,S_het vs dominant_real_eigenvalue,0.02,59.0,-0.37992488083888565,0.002997659560704349,-0.5125657510227937,3.3198285093778944e-05,-2.6238315088021577e-06,-0.00037743061540373074,0.14434291508044153
all,S_het vs dominant_real_eigenvalue,0.03,58.0,-0.37803750185109997,0.0034357744479793207,-0.445630440801009,0.0004556284118990424,-3.839074855791299e-06,-0.0005558474709734032,0.14291235280582062
all,S_het vs dominant_real_eigenvalue,0.05,59.0,-0.3691352974140153,0.004013734230045611,-0.4624780829924021,0.0002262021399830544,-6.212638049362746e-06,-0.000906945033389742,0.13626086779693364
all,S_het vs reactivity,0.001,59.0,0.2604630391772471,0.04632900284530572,0.33471654003506723,0.009563971660352812,0.0004650990458081299,0.2132882663617409,0.06784099477744814
all,S_het vs reactivity,0.0025,58.0,0.21465726334481652,0.10563716209927322,0.20883447660647822,0.11566891676833628,0.0003488850176478867,0.1906575579804047,0.04607774070668584
all,S_het vs reactivity,0.005,59.0,0.24864231750292895,0.05757311151605729,0.24202220923436593,0.06477716809917726,0.0003912586754516517,0.18220742508128504,0.061823002053227286
