Dep. Var.,Intercept included,n_obs,S_full_coef,S_full_p,BIC
|Re(lambda_max)|,True,59,0.41560299653658805,0.0010624759763587389,164.40229252357398
|Re(lambda_max)|,False,59,0.4156029965365879,0.0009590452568069898,160.32475507966822
Reactivity,True,59,0.44271599941399536,0.00044619037963715717,162.71880390378436
Reactivity,False,59,0.44271599941399514,0.0003970034270427425,158.64126645987864
