network_id,pair_id,Location,Site,Management,Treatment,S_full,S_het,S_Ftot,alpha_to_max_flux,total_flux,dominant_real_eigenvalue,reactivity
De_S1_Ex_C_d0,De_S1_Ex,De,S1,Ex,C,44.6519511297232,77.86356091750282,33.21160978777962,3.934300134928016,491.01082202672643,-4.344608480428045e-05,0.13105021843751583
De_S1_Ex_D_d0,De_S1_Ex,De,S1,Ex,D,43.537779212006065,81.87214366088625,38.33436444888019,4.9333651801073195,391.5752985690879,-6.165957464599881e-05,0.12088598433164605
De_S1_In_C_d0,De_S1_In,De,S1,In,C,36.41668273091259,62.15082787766056,25.73414514674797,2.961240323757629,652.3563548194402,-2.562400402292245e-05,0.140807163162866
De_S1_In_D_d0,De_S1_In,De,S1,In,D,46.21966154737207,62.63071717452607,16.411055627154,2.011389994771231,960.4223687960525,-6.26658169705391e-05,0.13842132689780925
De_S2_Ex_C_d0,De_S2_Ex,De,S2,Ex,C,52.36178352118891,63.87071502351601,11.508931502327101,1.610203718475646,1199.7139996544379,-3.872674705286964e-05,0.1139613944500779
De_S2_Ex_D_d0,De_S2_Ex,De,S2,Ex,D,58.04048824879043,78.9565886549108,20.91610040612037,2.4159392328239155,799.5995582607695,-3.912698513294728e-05,0.12700973609776164
De_S2_In_C_d0,De_S2_In,De,S2,In,C,41.31154127535875,63.59914260784319,22.287601332484442,2.5020273140607916,772.0874718252294,-1.784399716601331e-05,0.11935304164787035
De_S2_In_D_d0,De_S2_In,De,S2,In,D,39.354656875287034,63.331258807279745,23.97660193199271,2.7147613287304453,711.5851853740166,-1.8126050690435162e-05,0.1305432189427804
De_S3_Ex_C_d0,De_S3_Ex,De,S3,Ex,C,44.26879809716626,54.27153366261609,10.002735565449832,1.5044408934509468,1284.054396394173,-3.073711904189463e-05,0.09356861197849647
De_S3_Ex_D_d0,De_S3_Ex,De,S3,Ex,D,47.57119413857531,65.42302712934848,17.851832990773175,2.133824796420163,905.3151629842088,-0.00010297773752492991,0.11383719203543381
De_S3_In_C_d0,De_S3_In,De,S3,In,C,43.36853660577062,55.60175707740624,12.233220471635619,1.6604010151419797,1163.4442075944407,-8.910691534746865e-06,0.14134131270398007
De_S3_In_D_d0,De_S3_In,De,S3,In,D,44.50737226271568,40.92964192720469,-3.577730335510985,0.9999999999999998,1931.7839433508657,-8.141262807766728e-06,0.12866802186665244
De_S4_Ex_C_d0,De_S4_Ex,De,S4,Ex,C,44.2498864790634,62.300104207580205,18.050217728516806,2.1163706942541247,912.7814652676839,-4.446512038254571e-05,0.10124548887968073
De_S4_Ex_D_d0,De_S4_Ex,De,S4,Ex,D,62.69717006615105,73.89112068681916,11.193950620668112,1.5934581383768098,1212.321740261526,-0.0002455225828239549,0.09410764428339877
De_S4_In_C_d0,De_S4_In,De,S4,In,C,35.659710049111524,55.27043513354282,19.610725084431294,2.1761364465445583,887.7126921054538,-9.147971899109534e-06,0.11826082387840123
De_S4_In_D_d0,De_S4_In,De,S4,In,D,46.02549270798707,60.367722446027685,14.342229738040615,1.907753321433076,1012.5962941056438,-7.1899975085931234e-06,0.13361042707628468
De_S5_Ex_C_d0,De_S5_Ex,De,S5,Ex,C,39.24052584874987,57.70826305444838,18.467737205698512,1.9716247362275732,979.7929128476356,-2.787229167298078e-05,0.1183851090194408
