Dep. Var.,Intercept included,n_obs,S_Ftot_coef,S_Ftot_p,S_het_coef,S_het_p,BIC
|Re(lambda_max)|,True,59,-0.29331368810576613,0.01829019538862146,0.456590126288824,0.00037770666506806074,164.1856230795614
|Re(lambda_max)|,False,59,-0.293313688105766,0.017272714498382635,0.4565901262888239,0.00033441797649116093,160.1080856356557
Reactivity,True,59,-0.3930846361976043,0.0023065132119802177,0.32561435944399647,0.0105668330228762,166.52752753340172
Reactivity,False,59,-0.39308463619760425,0.0021052999534349327,0.3256143594439963,0.009890530247593439,162.44999008949603
