Dep. Var.,Intercept included,BIC_S_Ftot_plus_S_het,BIC_S_full_only,delta_BIC_full_minus_sfull
|Re(lambda_max)|,True,164.1856230795614,164.40229252357398,-0.21666944401258093
|Re(lambda_max)|,False,160.1080856356557,160.32475507966822,-0.21666944401252408
Reactivity,True,166.52752753340172,162.71880390378436,3.8087236296173614
Reactivity,False,162.44999008949603,158.64126645987864,3.80872362961739
